,dense_ijk,dense_ikj,sparce_transpose,sparce_access,sparce_access_modified
1,0m0.007s,0m0.007s,0m0.007s,0m0.007s,0m0.008s,
2,0m0.007s,0m0.007s,0m0.007s,0m0.009s,0m0.009s,
3,0m0.010s,0m0.008s,0m0.011s,0m0.026s,0m0.029s,
4,0m0.040s,0m0.020s,0m0.017s,0m0.323s,0m0.203s,
5,0m0.165s,0m0.045s,0m0.018s,0m0.913s,0m0.548s,
6,0m8.835s,0m1.695s,0m0.057s,0m47.503s,0m16.914s,
7,0m16.052s,0m2.317s,0m0.066s,1m5.550s,0m22.695s,
8,0m17.645s,0m2.355s,0m0.072s,1m14.391s,0m23.359s,
9,0m22.589s,0m2.754s,0m0.127s,0m57.712s,0m27.605s,
10,54m51.228s,1m35.127s,0m1.385s,33m48.874s,14m39.153s,
